1785125444305650205 cluster=intermediate_queue_0 done=1
1785125446338928266 cluster=intermediate_queue_0 done=2
1785125447860435069 cluster=intermediate_queue_0 done=3
1785125453180494748 cluster=intermediate_queue_0 done=4
1785125453484392842 cluster=intermediate_queue_0 done=5
1785125454734060975 cluster=intermediate_queue_0 done=6
1785125455560504485 cluster=intermediate_queue_0 done=7
1785125456757559778 cluster=intermediate_queue_0 done=8
1785125457732069201 cluster=intermediate_queue_0 done=9
1785125461026170468 cluster=intermediate_queue_0 done=10
1785125462152661594 cluster=intermediate_queue_0 done=11
1785125463043277718 cluster=intermediate_queue_1 done=1
1785125463046214915 cluster=intermediate_queue_0 done=12
1785125465068705497 cluster=intermediate_queue_1 done=2
1785125467618265000 cluster=intermediate_queue_1 done=3
1785125468564013411 cluster=intermediate_queue_0 done=13
1785125469051102182 cluster=intermediate_queue_0 done=14
1785125470086927569 cluster=intermediate_queue_0 done=15
1785125472112694234 cluster=intermediate_queue_0 done=16 window_fps=17.26
1785125473859645799 cluster=intermediate_queue_0 done=17 window_fps=17.44
1785125475668702748 cluster=intermediate_queue_0 done=18 window_fps=17.26
1785125475953486224 cluster=intermediate_queue_0 done=19 window_fps=21.08
1785125477979427688 cluster=intermediate_queue_0 done=20 window_fps=19.60
1785125480014561388 cluster=intermediate_queue_0 done=21 window_fps=18.99
1785125482358916102 cluster=intermediate_queue_1 done=4
1785125483829182583 cluster=intermediate_queue_0 done=22 window_fps=16.98
1785125483933661691 cluster=intermediate_queue_0 done=23 window_fps=17.66
1785125485447854251 cluster=intermediate_queue_1 done=5
1785125486458388716 cluster=intermediate_queue_0 done=24 window_fps=16.71
1785125486870608576 cluster=intermediate_queue_0 done=25 window_fps=18.57
1785125487974877834 cluster=intermediate_queue_1 done=6
1785125488390491592 cluster=intermediate_queue_0 done=26 window_fps=18.29
1785125490881093799 cluster=intermediate_queue_0 done=27 window_fps=17.24
1785125492909505415 cluster=intermediate_queue_0 done=28 window_fps=19.72
1785125494424929063 cluster=intermediate_queue_0 done=29 window_fps=18.92
1785125496550202423 cluster=intermediate_queue_0 done=30 window_fps=18.14
1785125499206081558 cluster=intermediate_queue_0 done=31 window_fps=17.72
1785125501282475506 cluster=intermediate_queue_0 done=32 window_fps=17.50
1785125501917755421 cluster=intermediate_queue_0 done=33 window_fps=18.29
1785125503254625514 cluster=intermediate_queue_1 done=7
1785125503859284806 cluster=intermediate_queue_0 done=34 window_fps=17.20
1785125505797064081 cluster=intermediate_queue_1 done=8
1785125506407966998 cluster=intermediate_queue_0 done=35 window_fps=16.88
1785125507713349321 cluster=intermediate_queue_0 done=36 window_fps=17.33
1785125508325908218 cluster=intermediate_queue_1 done=9
